x,y,z,Tiempo,time stamp
-0.02916304,0.07462677,-0.08788276,0.099123,27/07/2021 02:32:29 a. m.
-0.03164857,0.07365075,-0.08965364,0.0975716,27/07/2021 02:32:29 a. m.
-0.03287247,0.07309347,-0.08967453,0.1020172,27/07/2021 02:32:29 a. m.
-0.03272577,0.0728505,-0.09144025,0.0951101,27/07/2021 02:32:29 a. m.
-0.03159878,0.0738493,-0.09488773,0.1063423,27/07/2021 02:32:29 a. m.
-0.02860903,0.07575206,-0.09879255,0.097596,27/07/2021 02:32:30 a. m.
-0.0251121,0.07691706,-0.1038667,0.0983357,27/07/2021 02:32:30 a. m.
-0.02313901,0.07739856,-0.1119532,0.1033139,27/07/2021 02:32:30 a. m.
-0.02533945,0.07791174,-0.115386,0.0976116,27/07/2021 02:32:30 a. m.
-0.03088522,0.07850186,-0.1152589,0.1019146,27/07/2021 02:32:30 a. m.
-0.03883939,0.07824706,-0.1141357,0.0995036,27/07/2021 02:32:30 a. m.
-0.04567799,0.07740866,-0.1119513,0.0977443,27/07/2021 02:32:30 a. m.
-0.04975272,0.07526275,-0.1117656,0.1018887,27/07/2021 02:32:30 a. m.
-0.04861067,0.07252721,-0.1153217,0.0978492,27/07/2021 02:32:30 a. m.
-0.0456651,0.07309326,-0.1194921,0.1031766,27/07/2021 02:32:30 a. m.
-0.04303337,0.07579461,-0.1200679,0.0956207,27/07/2021 02:32:31 a. m.
-0.04313141,0.07906064,-0.1169031,0.1054545,27/07/2021 02:32:31 a. m.
-0.04387773,0.08147933,-0.1106021,0.0981927,27/07/2021 02:32:31 a. m.
-0.04137913,0.08368827,-0.09964515,0.0975014,27/07/2021 02:32:31 a. m.
-0.03961651,0.0836768,-0.09254016,0.1030409,27/07/2021 02:32:31 a. m.
-0.03975922,0.08374538,-0.08656245,0.0983768,27/07/2021 02:32:31 a. m.
-0.03971165,0.08363287,-0.08059637,0.1023586,27/07/2021 02:32:31 a. m.
-0.03919045,0.08424194,-0.07465772,0.0984537,27/07/2021 02:32:31 a. m.
-0.03847732,0.08450967,-0.07033449,0.0970447,27/07/2021 02:32:31 a. m.
-0.04028189,0.08432651,-0.06703942,0.1040762,27/07/2021 02:32:31 a. m.
-0.04142536,0.08418949,-0.06427519,0.0977296,27/07/2021 02:32:32 a. m.
-0.04243675,0.08370636,-0.06199022,0.0989833,27/07/2021 02:32:32 a. m.
-0.04367959,0.08381176,-0.05978146,0.1021467,27/07/2021 02:32:32 a. m.
-0.044792,0.08363637,-0.05751079,0.1019538,27/07/2021 02:32:32 a. m.
-0.04603784,0.08321391,-0.05855559,0.09784,27/07/2021 02:32:32 a. m.
-0.0467873,0.08333831,-0.05913904,0.0992605,27/07/2021 02:32:32 a. m.
